State,Step,X,Theta,U
2.0,33010.0,0.0,-28690.0,-1.8243699073791504
2.0,33014.0,0.0,-28683.0,-1.8243699073791504
2.0,33019.0,0.0,-28678.0,-1.8243699073791504
2.0,33023.0,0.0,-28673.0,-1.8243699073791504
2.0,33027.0,0.0,-28668.0,-1.8243699073791504
2.0,33031.0,0.0,-28662.0,-1.8243699073791504
2.0,33036.0,0.0,-28657.0,-1.8243699073791504
2.0,33040.0,0.0,-28652.0,-1.8243699073791504
2.0,33044.0,0.0,-28647.0,-1.8243699073791504
2.0,33048.0,0.0,-28642.0,-1.8243699073791504
2.0,33053.0,0.0,-28635.0,-1.8243699073791504
2.0,33058.0,0.0,-28629.0,-1.8243699073791504
2.0,33062.0,0.0,-28624.0,-1.8243699073791504
2.0,33067.0,0.0,-28619.0,-1.8243699073791504
2.0,33073.0,0.0,-28612.0,-1.8243699073791504
2.0,33077.0,0.0,-28606.0,-1.8243699073791504
2.0,33083.0,0.0,-28599.0,-1.8243699073791504
2.0,33089.0,0.0,-28592.0,-1.8243699073791504
2.0,33095.0,0.0,-28586.0,-1.8243699073791504
2.0,33101.0,0.0,-28580.0,-1.8243699073791504
2.0,33106.0,0.0,-28573.0,-1.8243699073791504
2.0,33112.0,0.0,-28568.0,-1.8243699073791504
2.0,33118.0,0.0,-28561.0,-1.8243699073791504
2.0,33125.0,0.0,-28555.0,-1.8243699073791504
2.0,33131.0,0.0,-28549.0,-1.8243699073791504
2.0,33135.0,0.0,-28545.0,-1.8243699073791504
2.0,33139.0,0.0,-28540.0,-1.8243699073791504
2.0,33143.0,0.0,-28537.0,-1.8243699073791504
2.0,33147.0,0.0,-28533.0,-1.8243699073791504
2.0,33151.0,0.0,-28530.0,-1.8243699073791504
2.0,33155.0,0.0,-28527.0,-1.8243699073791504
2.0,33159.0,0.0,-28523.0,-1.8243699073791504
2.0,33163.0,0.0,-28520.0,-1.8243699073791504
2.0,33167.0,0.0,-28517.0,-1.8243699073791504
2.0,33172.0,0.0,-28513.0,-1.8243699073791504
2.0,33178.0,0.0,-28510.0,-1.8243699073791504
2.0,33183.0,0.0,-28506.0,-1.8243699073791504
2.0,33189.0,0.0,-28502.0,-1.8243699073791504
2.0,33193.0,0.0,-28499.0,-1.8243699073791504
2.0,33198.0,0.0,-28497.0,-1.8243699073791504
2.0,33202.0,0.0,-28494.0,-1.8243699073791504
2.0,33208.0,0.0,-28491.0,-1.8243699073791504
2.0,33213.0,0.0,-28490.0,-1.8243699073791504
2.0,33218.0,0.0,-28487.0,-1.8243699073791504
2.0,33222.0,0.0,-28485.0,-1.8243699073791504
2.0,33226.0,0.0,-28484.0,-1.8243699073791504
2.0,33233.0,0.0,-28482.0,-1.8243699073791504
