State,Step,X,Theta,U
2.0,70327.0,0.0,8393.0,-0.7588895559310913
2.0,70331.0,0.0,8379.0,-0.7588895559310913
2.0,70337.0,0.0,8357.0,-0.7588895559310913
2.0,70341.0,0.0,8342.0,-0.7588895559310913
2.0,70345.0,0.0,8324.0,-0.7588895559310913
2.0,70349.0,0.0,8313.0,-0.7588895559310913
2.0,70371.0,0.0,8227.0,-0.7588895559310913
2.0,70376.0,0.0,8212.0,-0.7588895559310913
2.0,70384.0,0.0,8178.0,-0.7588895559310913
2.0,70388.0,0.0,8167.0,-0.7588895559310913
2.0,70393.0,0.0,8148.0,-0.7588895559310913
2.0,70398.0,0.0,8129.0,-0.7588895559310913
2.0,70407.0,0.0,8096.0,-0.7588895559310913
2.0,70412.0,0.0,8077.0,-0.7588895559310913
2.0,70420.0,0.0,8044.0,-0.7588895559310913
2.0,70425.0,0.0,8030.0,-0.7588895559310913
2.0,70428.0,0.0,8015.0,-0.7588895559310913
2.0,70432.0,0.0,8001.0,-0.7588895559310913
2.0,70437.0,0.0,7987.0,-0.7588895559310913
2.0,70478.0,0.0,7850.0,-0.7588895559310913
2.0,70482.0,0.0,7835.0,-0.7588895559310913
2.0,70486.0,0.0,7823.0,-0.7588895559310913
2.0,70495.0,0.0,7797.0,-0.7588895559310913
2.0,70499.0,0.0,7786.0,-0.7588895559310913
2.0,70503.0,0.0,7778.0,-0.7588895559310913
2.0,70507.0,0.0,7767.0,-0.7588895559310913
2.0,70510.0,0.0,7756.0,-0.7588895559310913
2.0,70515.0,0.0,7746.0,-0.7588895559310913
2.0,70519.0,0.0,7736.0,-0.7588895559310913
2.0,70523.0,0.0,7726.0,-0.7588895559310913
2.0,70526.0,0.0,7717.0,-0.7588895559310913
2.0,70532.0,0.0,7705.0,-0.7588895559310913
2.0,70536.0,0.0,7696.0,-0.7588895559310913
2.0,70539.0,0.0,7688.0,-0.7588895559310913
2.0,70543.0,0.0,7681.0,-0.7588895559310913
2.0,70547.0,0.0,7671.0,-0.7588895559310913
2.0,70551.0,0.0,7664.0,-0.7588895559310913
2.0,70556.0,0.0,7656.0,-0.7588895559310913
2.0,70561.0,0.0,7646.0,-0.7588895559310913
2.0,70566.0,0.0,7639.0,-0.7588895559310913
2.0,70571.0,0.0,7631.0,-0.7588895559310913
2.0,70577.0,0.0,7623.0,-0.7588895559310913
2.0,70582.0,0.0,7616.0,-0.7588895559310913
2.0,70587.0,0.0,7608.0,-0.7588895559310913
2.0,70591.0,0.0,7605.0,-0.7588895559310913
2.0,70596.0,0.0,7600.0,-0.7588895559310913
2.0,70601.0,0.0,7594.0,-0.7588895559310913
2.0,70606.0,0.0,7591.0,-0.7588895559310913
2.0,70611.0,0.0,7586.0,-0.7588895559310913
2.0,70615.0,0.0,7584.0,-0.7588895559310913
2.0,70621.0,0.0,7580.0,-0.7588895559310913
2.0,70626.0,0.0,7578.0,-0.7588895559310913
2.0,70632.0,0.0,7577.0,-0.7588895559310913
2.0,70638.0,0.0,7575.0,-0.7588895559310913
2.0,70643.0,0.0,7575.0,-0.7588895559310913
2.0,70650.0,0.0,7575.0,-0.7588895559310913
2.0,70655.0,0.0,7576.0,-0.7588895559310913
2.0,70661.0,0.0,7578.0,-0.7588895559310913
2.0,70666.0,0.0,7580.0,-0.7588895559310913
2.0,70671.0,0.0,7583.0,-0.7588895559310913
2.0,70677.0,0.0,7586.0,-0.7588895559310913
2.0,70683.0,0.0,7590.0,-0.7588895559310913
2.0,70688.0,0.0,7595.0,-0.7588895559310913
2.0,70695.0,0.0,7601.0,-0.7588895559310913
2.0,70699.0,0.0,7607.0,-0.7588895559310913
2.0,70705.0,0.0,7615.0,-0.7588895559310913
2.0,70711.0,0.0,7620.0,-0.7588895559310913
2.0,70716.0,0.0,7629.0,-0.7588895559310913
2.0,70720.0,0.0,7635.0,-0.7588895559310913
2.0,70733.0,0.0,7657.0,-0.7588895559310913
2.0,70738.0,0.0,7664.0,-0.7588895559310913
2.0,70744.0,0.0,7678.0,-0.7588895559310913
2.0,70748.0,0.0,7686.0,-0.7588895559310913
2.0,70755.0,0.0,7699.0,-0.7588895559310913
2.0,70761.0,0.0,7712.0,-0.7588895559310913
2.0,70765.0,0.0,7724.0,-0.7588895559310913
2.0,70771.0,0.0,7736.0,-0.7588895559310913
2.0,70779.0,0.0,7759.0,-0.7588895559310913
2.0,70784.0,0.0,7770.0,-0.7588895559310913
2.0,70788.0,0.0,7781.0,-0.7588895559310913
2.0,70793.0,0.0,7797.0,-0.7588895559310913
2.0,70800.0,0.0,7814.0,-0.7588895559310913
2.0,70805.0,0.0,7832.0,-0.7588895559310913
2.0,70812.0,0.0,7850.0,-0.7588895559310913
2.0,70816.0,0.0,7863.0,-0.7588895559310913
2.0,70821.0,0.0,7882.0,-0.7588895559310913
2.0,70827.0,0.0,7898.0,-0.7588895559310913
2.0,70832.0,0.0,7917.0,-0.7588895559310913
2.0,70838.0,0.0,7934.0,-0.7588895559310913
2.0,70846.0,0.0,7961.0,-0.7588895559310913
2.0,70851.0,0.0,7982.0,-0.7588895559310913
2.0,70857.0,0.0,8000.0,-0.7588895559310913
2.0,70860.0,0.0,8014.0,-0.7588895559310913
2.0,70866.0,0.0,8035.0,-0.7588895559310913
2.0,70870.0,0.0,8050.0,-0.7588895559310913
2.0,70876.0,0.0,8072.0,-0.7588895559310913
2.0,70881.0,0.0,8086.0,-0.7588895559310913
2.0,70885.0,0.0,8101.0,-0.7588895559310913
2.0,70891.0,0.0,8123.0,-0.7588895559310913
2.0,70898.0,0.0,8153.0,-0.7588895559310913
2.0,70902.0,0.0,8168.0,-0.7588895559310913
2.0,70908.0,0.0,8186.0,-0.7588895559310913
2.0,70917.0,0.0,8220.0,-0.7588895559310913
2.0,70921.0,0.0,8234.0,-0.7588895559310913
